region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,total_msw_total_msw_generated_tons_year
ECS,Channel Islands,46672.59375,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,164541,22500.0,178933.0
LCN,Chile,20361.71484,53.3,6.6,2.3,16.0,12.4,9.4,No,Yes,Yes,16829442,176000.0,6517000.0
EAS,China,16092.30078,61.2,2.1,1.1,13.1,9.6,9.8,Yes,Yes,Yes,1400050048,7211000.0,395081376.0
SSF,Côte d’Ivoire,3660.902832,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,20401332,22000.0,4440814.27
SSF,Cameroon,3262.763672,83.4,0.1,0.7,10.4,2.1,3.3,Yes,Yes,Yes,21655716,19000.0,3270616.59
SSF,"Congo, Dem. Rep.",1055.572998,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,No,78736152,22500.0,14385226.02
SSF,"Congo, Rep.",4899.57959,43.2,4.0,3.0,14.0,13.155000000000001,11.5,No,Yes,No,2648507,22500.0,451200.0
LCN,Colombia,12523.00684,59.58,2.35,1.1,15.74,8.4,12.83,Yes,No,Yes,46406648,252200.0,12150120.0
SSF,Comoros,2959.540039,50.0,2.0,4.0,22.0,7.0,5.0,Yes,Yes,Yes,777424,600.0,91013.0
SSF,Cabo Verde,6353.783203,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,513979,2400.0,132555.0
LCN,Costa Rica,18168.71484,58.0,1.0,2.0,7.0,21.0,11.0,Yes,Yes,No,4757575,35800.0,1460000.0
LCN,Cuba,12984.71094,68.9,4.6,1.6,3.0,12.3,9.6,No,No,Yes,11303687,22500.0,2692691.98
LCN,Curacao,27503.78906,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,153822,22500.0,24703.8132
LCN,Cayman Islands,66207.44531,10.9,3.5,6.2,11.4,31.1,11.0,Yes,Yes,Yes,59172,22500.0,60000.0
ECS,Cyprus,39544.68359,41.47,2.66,3.25,10.07,25.7,14.77,Yes,Yes,No,1198575,18137.0,769485.125
ECS,Czech Republic,40836.32813,62.3,2.4,8.4,14.9,9.1,2.2,Yes,Yes,Yes,10669709,79581.0,5334854.5
ECS,Germany,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,Yes,Yes,Yes,83132800,2465085.0,50627876.0
MEA,Djibouti,6596.775391,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,746221,900.0,114997.249
LCN,Dominica,11708.63965,45.0,8.0,5.0,14.0,12.0,16.0,Yes,Yes,No,72400,22500.0,13176.0
ECS,Denmark,57821.19922,12.78,5.78,6.29,23.86,11.57,1.61,Yes,Yes,Yes,5818553,168614.0,4910858.5
LCN,Dominican Republic,15328.35254,51.0,6.0,3.0,10.0,16.0,10.0,Yes,No,No,10528394,57000.0,4063910.0
MEA,Algeria,11826.16504,54.4,1.2,2.8,0.8,9.8,16.9,Yes,Yes,Yes,40606052,252000.0,12378740.0
LCN,Ecuador,11896.37695,58.67,3.01,1.53,13.78,10.25,11.44,Yes,No,Yes,16144368,73000.0,5297211.143
MEA,"Egypt, Arab Rep.",10301.10742,56.0,4.0,2.0,15.0,10.0,13.0,Yes,No,Yes,87813256,497000.0,21000000.0
SSF,Eritrea,1714.552368,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,4474690,3800.0,726957.37
ECS,Spain,40985.55859,49.0,8.0,3.0,14.0,15.0,9.0,Yes,Yes,Yes,47076780,1202597.0,22408548.0
ECS,Estonia,36956.28516,36.7,8.3,2.6,15.9,17.5,18.6,Yes,Yes,No,1326590,34312.0,489511.7188
SSF,Ethiopia,1779.083984,87.6,0.8,1.2,4.4,3.8,2.3,Yes,Yes,Yes,99873032,49000.0,6532786.97
ECS,Finland,48814.30859,35.88,9.24,1.7,13.13,37.83,1.45,Yes,Yes,Yes,5520314,212954.0,3124497.75
EAS,Fiji,10787.68555,33.2,4.1,1.9,3.5,12.5,7.5,Yes,Yes,Yes,867086,4600.0,189389.594
ECS,France,46110.18359,32.0,10.0,3.0,26.0,20.0,9.0,Yes,Yes,Yes,67059888,2218682.0,36748820.0
ECS,Faeroe Islands,44402.87891,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,No,48842,22500.0,61000.0
EAS,"Micronesia, Fed. Sts.",3440.064209,23.83,7.07,16.73,9.32,13.3,26.17,Yes,Yes,None,104937,200.0,26039.57
SSF,Gabon,18514.65234,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,1086137,14000.0,238102.31
ECS,United Kingdom,46290.12109,16.7,2.2,3.5,28.2,18.9,20.2,Yes,Yes,No,66460344,3584126.0,30771140.0
ECS,Georgia,12605.13965,39.0,3.0,5.0,16.0,34.0,3.0,No,Yes,Yes,3717100,21000.0,800000.0
SSF,Ghana,3092.596924,67.0,0.0,1.0,25.0,3.0,4.0,Yes,Yes,Yes,21542008,39000.0,3538274.978
ECS,Gibraltar,43711.80078,24.57,4.42,4.37,14.38,33.65,15.86,Yes,Yes,Yes,33623,201.44,16954.0
SSF,Guinea,1622.776855,58.0,1.0,1.0,27.0,9.0,4.0,Yes,Yes,Yes,8132552,8000.0,596911.0
SSF,"Gambia, The",2180.855713,35.0,1.9,2.1,51.4,9.7,11.5,Yes,Yes,No,1311349,2200.0,193440.54
SSF,Guinea-Bissau,1800.068604,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,1770526,1000.0,289514.0
SSF,Equatorial Guinea,24827.07227,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,1221490,22500.0,198443.06
ECS,Greece,30465.44922,40.0,3.0,3.0,9.0,29.0,14.0,Yes,Yes,Yes,10716322,188460.0,5615352.5
LCN,Grenada,13207.71191,27.1,3.1,2.4,36.5,13.6,16.4,Yes,Yes,Yes,105481,800.0,29536.11394
ECS,Greenland,43948.5625,42.8,7.1,2.0,33.4,11.4,2.4,Yes,Yes,No,56905,22500.0,50000.0
